iter	Passed	Remaining
898	36234	4070
899	36271	4030
900	36309	3989
901	36348	3949
902	36384	3908
903	36425	3868
904	36461	3827
905	36501	3787
906	36541	3746
907	36583	3706
908	36620	3666
909	36658	3625
910	36697	3585
911	36739	3545
912	36776	3504
913	36807	3463
914	36841	3422
915	36880	3382
916	36913	3341
917	36951	3300
918	36993	3260
919	37037	3220
920	37090	3181
921	37136	3141
922	37171	3100
923	37201	3059
924	37235	3019
925	37263	2977
926	37291	2936
927	37322	2895
928	37353	2854
929	37383	2813
930	37412	2772
931	37443	2731
932	37473	2690
933	37502	2650
934	37532	2609
935	37570	2568
936	37602	2528
937	37632	2487
938	37660	2446
939	37689	2405
940	37718	2364
941	37749	2324
942	37779	2283
943	37807	2242
944	37837	2202
945	37866	2161
946	37898	2121
947	37925	2080
948	37957	2039
949	37988	1999
950	38018	1958
951	38049	1918
952	38081	1878
953	38111	1837
954	38141	1797
955	38171	1756
956	38202	1716
957	38235	1676
958	38276	1636
959	38308	1596
960	38337	1555
961	38367	1515
962	38398	1475
963	38429	1435
964	38460	1394
965	38491	1354
966	38518	1314
967	38549	1274
968	38580	1234
969	38613	1194
970	38643	1154
971	38674	1114
972	38704	1074
973	38734	1033
974	38764	993
975	38793	953
976	38823	913
977	38853	874
978	38883	834
979	38914	794
980	38944	754
981	38983	714
982	39016	674
983	39047	634
984	39077	595
985	39106	555
986	39136	515
987	39165	475
988	39195	435
989	39225	396
990	39255	356
991	39285	316
992	39314	277
993	39345	237
994	39375	197
995	39414	158
996	39454	118
997	39484	79
998	39515	39
999	39546	0
